Name,Cumulative Enrollment ,Chronic absenteeism elgible enrollment,Absent Count,Absent Rate,Total Suspension ,Unduplicated Count of Students Suspended ,Suspension Rate,percent students one suspension ,percent of students with multiple suspensions
Los Nietos,"1,756","1,699",53,3.10%,68,45,2.60%,66.70%,33.30%
Lowell Joint,"3,293","3,246",157,4.80%,100,81,2.50%,82.70%,17.30%
Lynwood Unified,"14,954","14,660","2,531",17.30%,677,491,3.30%,76.20%,23.80%
Manhattan Beach Unified,"6,746","6,676",310,4.60%,74,60,0.90%,81.70%,18.30%
Monrovia Unified,"5,774","5,672",696,12.30%,192,151,2.60%,78.80%,21.20%
Montebello Unified,"27,799","26,444","3,155",11.90%,929,717,2.60%,79.80%,20.20%
Mountain View Elementary,"7,155","7,003",544,7.80%,375,235,3.30%,70.20%,29.80%
Newhall,"6,866","6,780",345,5.10%,103,76,1.10%,80.30%,19.70%
Norwalk-La Mirada Unified,"18,686","18,381","1,648",9.00%,975,689,3.70%,77.20%,22.80%
Palmdale Elementary,"25,728","24,900","4,358",17.50%,"2,805","1,599",6.20%,63.70%,36.30%
Palos Verdes Peninsula Unified,"11,667","11,565",699,6.00%,216,162,1.40%,77.80%,22.20%
Paramount Unified,"16,137","15,821","1,279",8.10%,665,464,2.90%,74.60%,25.40%
Pasadena Unified,"19,321","18,700","2,280",12.20%,"1,526",874,4.50%,65.00%,35.00%
Pomona Unified,"25,448","24,743","3,126",12.60%,"1,331",893,3.50%,73.90%,26.10%
Redondo Beach Unified,"10,149","10,040",635,6.30%,250,185,1.80%,75.70%,24.30%
Rosemead Elementary,"2,559","2,535",33,1.30%,45,39,1.50%,84.60%,15.40%
Rowland Unified,"15,113","14,747","1,357",9.20%,421,280,1.90%,71.80%,28.20%
San Gabriel Unified,"11,743","8,222",873,10.60%,190,126,1.10%,68.30%,31.70%
San Marino Unified,"3,138","3,106",87,2.80%,13,10,0.30%,70.00%,30.00%
Santa Monica-Malibu Unified,"11,121","11,005","1,020",9.30%,363,270,2.40%,73.30%,26.70%
Saugus Union,"10,409","10,321",580,5.60%,17,12,0.10%,75.00%,25.00%
SBE - Academia Avance Charter,428,416,45,10.80%,27,20,4.70%,85.00%,15.00%
SBE - Anahuacalmecac International University Preparatory of North America,400,378,73,19.30%,0,0,0.00%,0.00%,0.00%
SBE - Barack Obama Charter,464,445,149,33.50%,0,0,0.00%,0.00%,0.00%
SBE - Celerity Himalia,638,632,35,5.50%,0,0,0.00%,0.00%,0.00%
SBE - Celerity Rolas,334,323,22,6.80%,0,0,0.00%,0.00%,0.00%
SBE - New West Charter,842,834,20,2.40%,0,0,0.00%,0.00%,0.00%
SBE - Prepa Tec Los Angeles High,246,235,57,24.30%,16,16,6.50%,100.00%,0.00%
SBE - The School of Arts and Enterprise,850,822,127,15.50%,12,10,1.20%,80.00%,20.00%
South Pasadena Unified,"5,072","4,884",260,5.30%,66,53,1.00%,84.90%,15.10%
South Whittier Elementary,"2,969","2,876",246,8.60%,69,49,1.70%,75.50%,24.50%
Sulphur Springs Union,"5,742","5,655",547,9.70%,77,63,1.10%,87.30%,12.70%
Temple City Unified,"6,024","5,967",285,4.80%,42,37,0.60%,86.50%,13.50%
Torrance Unified,"24,196","23,858","1,153",4.80%,794,569,2.40%,76.40%,23.60%
Valle Lindo Elementary,"1,090","1,070",67,6.30%,20,17,1.60%,82.40%,17.60%
Walnut Valley Unified,"14,700","13,722",568,4.10%,223,182,1.20%,83.50%,16.50%
West Covina Unified,"14,248","13,656","1,759",12.90%,261,182,1.30%,72.50%,27.50%
Westside Union Elementary,"10,153","9,955",947,9.50%,381,266,2.60%,75.60%,24.40%
Whittier City Elementary,"6,479","6,349",545,8.60%,245,158,2.40%,67.70%,32.30%
Whittier Union High,"12,354","12,050","1,494",12.40%,501,445,3.60%,88.80%,11.20%
William S. Hart Union High,"28,122","26,883","2,750",10.20%,533,450,1.60%,84.40%,15.60%
Wilsona Elementary,"1,492","1,434",245,17.10%,80,55,3.70%,74.50%,25.50%
Wiseburn Unified,"4,888","4,571",333,7.30%,60,46,0.90%,76.10%,23.90%
